"Species","GeneID","Elements","GeneName","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"P.trichocarpa_v4.1","Potri.001G090200","K",NA,NA,NA,NA,NA,"Inferred","AtCBL10",NA,"AT4G33000, AT4G16350","Glyma.17G229500, Glyma.07G010800, Glyma.08G194000","Medtr1g016430, Medtr8g016170, Medtr2g027520, Medtr2g027500","LOC_Os01g39770, LOC_Os01g51420","Potri.006G230200, Potri.003G037800, Potri.015G013200, Potri.001G090200","Sobic.003G196400, Sobic.003G275000","Seita.5G259100, Seita.5G291900","Sevir.5G210300, Sevir.5G294932","VIT_204s0008g00960, VIT_204s0008g00950","Zm00001d044285"
"P.trichocarpa_v4.1","Potri.001G104500","Cd,As",NA,NA,NA,NA,NA,"Inferred","AtGSH1",NA,"AT4G23100","Glyma.01G219900, Glyma.08G014300, Glyma.05G207600","Medtr5g010250, Medtr5g010230, Medtr8g098350","LOC_Os07g27790, LOC_Os05g03820","Potri.001G104500, Potri.003G126900","Sobic.009G029600","Seita.3G050000","Sevir.3G050100","VIT_202s0025g03530","Zm00001d010950"
"P.trichocarpa_v4.1","Potri.001G105800","Cu",NA,NA,NA,NA,NA,"Inferred","AtHMA5,OsHMA5",NA,"AT1G63440","Glyma.01G219100, Glyma.08G013600, Glyma.19G140000, Glyma.01G219000","Medtr8g079250, Medtr5g010420","LOC_Os04g46940","Potri.001G105800, Potri.003G125600, Potri.003G125700","Sobic.006G173800, Sobic.006G173700","Seita.7G194000, Seita.7G193900","Sevir.7G206000, Sevir.7G205900","VIT_202s0025g03640, VIT_202s0025g03630","Zm00001d002705, Zm00001d002708"
"P.trichocarpa_v4.1","Potri.001G110100","P",NA,NA,NA,NA,NA,"Inferred","AtLPCAT1",NA,"AT1G12640, AT1G63050","Glyma.05G049500, Glyma.17G131500","Medtr4g102750","LOC_Os02g45344","Potri.001G110100, Potri.003G121700","Sobic.004G283600","Seita.1G270400","Sevir.1G275100","VIT_202s0025g04410","Zm00001d017584"
"P.trichocarpa_v4.1","Potri.001G145200","K",NA,NA,NA,NA,NA,"Inferred","AtNRT1.5/NPF7.3",NA,"AT4G21680, AT1G32450","Glyma.09G237600, Glyma.18G097800, Glyma.18G260000, Glyma.05G070600, Glyma.17G153300, Glyma.01G200100, Glyma.11G042000","Medtr7g010820, Medtr4g098800, Medtr5g014150","","Potri.014G179400, Potri.003G088800, Potri.001G145200","","","","VIT_215s0021g00330, VIT_202s0012g01160",""
"P.trichocarpa_v4.1","Potri.001G163100","S",NA,NA,NA,NA,NA,"Inferred","AtAT3G14280",NA,"AT3G14280","Glyma.03G263400, Glyma.19G262400, Glyma.07G045700, Glyma.16G013600","Medtr7g117550, Medtr8g023100","LOC_Os02g54180, LOC_Os06g09350","Potri.003G072400, Potri.001G163100","Sobic.010G071500, Sobic.004G321500, Sobic.010G071400","Seita.1G179900, Seita.2G256600, Seita.1G342900, Seita.4G041800, Seita.4G042000","Sevir.2G267450, Sevir.8G253632, Sevir.1G349900, Sevir.4G039500, Sevir.4G039600","VIT_209s0002g00370","Zm00001d037097"
"P.trichocarpa_v4.1","Potri.001G177333","Al",NA,NA,NA,NA,NA,"Inferred","OsCDT3",NA,"","Glyma.13G361300, Glyma.15G012600","","LOC_Os06g05120, LOC_Os01g08300","Potri.001G177333, Potri.001G177366","","Seita.4G031300","Sevir.4G030200","VIT_209s0002g05180, VIT_211s0016g04510","Zm00001d045385"
"P.trichocarpa_v4.1","Potri.001G177366","Al",NA,NA,NA,NA,NA,"Inferred","OsCDT3",NA,"","Glyma.13G361300, Glyma.15G012600","","LOC_Os06g05120, LOC_Os01g08300","Potri.001G177333, Potri.001G177366","","Seita.4G031300","Sevir.4G030200","VIT_209s0002g05180, VIT_211s0016g04510","Zm00001d045385"
"P.trichocarpa_v4.1","Potri.001G179400","P",NA,NA,NA,NA,NA,"Inferred","OsSPDT",NA,"AT3G15990","Glyma.07G006500, Glyma.08G207100, Glyma.13G360000, Glyma.15G014000","Medtr4g011970, Medtr2g102243","LOC_Os06g05160","Potri.001G179400, Potri.003G056200","Sobic.010G033800","Seita.4G032500","Sevir.4G031300","VIT_209s0002g04780, VIT_211s0016g04150","Zm00001d000204"
"P.trichocarpa_v4.1","Potri.001G189500","Cd",NA,NA,NA,NA,NA,"Inferred","AtPEN3",NA,"AT1G15210, AT1G59870, AT3G16340","Glyma.08G201300, Glyma.07G015800, Glyma.13G355000","Medtr8g014360, Medtr2g101090","LOC_Os06g36090, LOC_Os01g52560","Potri.001G189500, Potri.003G049600","Sobic.010G165500, Sobic.003G281500","Seita.4G181500, Seita.5G302300","Sevir.4G150000, Sevir.5G304900","VIT_209s0002g03630, VIT_209s0002g03640","Zm00001d036986, Zm00001d046277, Zm00001d043598"
"P.trichocarpa_v4.1","Potri.001G212000","S,Se",NA,NA,NA,NA,NA,"Inferred","AtMSA1",NA,"AT1G36370, AT1G22020","Glyma.08G187800, Glyma.12G170300","Medtr2g006570, Medtr3g073470","LOC_Os05g35440, LOC_Os01g65410","Potri.001G212000, Potri.002G090200, Potri.005G170800","Sobic.003G373600","Seita.5G398800","Sevir.5G404100","VIT_212s0034g02380, VIT_218s0001g04340","Zm00001d042661, Zm00001d012247"
"P.trichocarpa_v4.1","Potri.001G235800","Ni",NA,NA,NA,NA,NA,"Inferred","AtZAT11",NA,"AT2G28710, AT2G37430, AT3G53600","Glyma.20G099100, Glyma.10G290200, Glyma.02G094500, Glyma.18G287200, Glyma.13G333400, Glyma.15G040700, Glyma.12G065800, Glyma.11G142500, Glyma.03G173200, Glyma.19G174100, Glyma.10G045200, Glyma.13G132800, Glyma.03G173100, Glyma.19G174000, Glyma.19G174200, Glyma.03G173300, Glyma.13G133100, Glyma.10G045400","Medtr7g023560, Medtr2g096540, Medtr1g067660, Medtr7g100100, Medtr1g067650, Medtr1g067640","LOC_Os03g17150","Potri.010G209400, Potri.008G051200, Potri.009G027700, Potri.001G235800","Sobic.001G035300, Sobic.001G416200","Seita.9G034400, Seita.9G449600","Sevir.9G033500, Sevir.9G453500","VIT_213s0019g00480, VIT_206s0004g04180","Zm00001d034639, Zm00001d028667, Zm00001d047786"
"P.trichocarpa_v4.1","Potri.001G245800","Zn",NA,NA,NA,NA,NA,"Inferred","MtMTP2",NA,"AT2G29410","Glyma.12G059000, Glyma.11G135500","Medtr4g064893","","Potri.001G245800","","","","VIT_206s0004g05540",""
"P.trichocarpa_v4.1","Potri.001G246000","Cu",NA,NA,NA,NA,NA,"Inferred","AtCOPT1,MtCOPT1",NA,"AT2G37925, AT5G59040, AT2G26975, AT5G59030, AT3G46900","Glyma.11G134700, Glyma.01G106700, Glyma.18G191300, Glyma.07G141200, Glyma.18G191900, Glyma.07G141600","Medtr4g064963, Medtr4g065123, Medtr4g065660, Medtr7g066070, Medtr4g019870, Medtr0027s0220","LOC_Os05g35050, LOC_Os01g56420, LOC_Os01g56430","Potri.009G038800, Potri.001G246000, Potri.009G038700, Potri.006G093200, Potri.006G093300","Sobic.003G310200, Sobic.005G059300","Seita.5G333200, Seita.5G333000, Seita.3G293100","Sevir.5G337400, Sevir.5G337200, Sevir.3G302000","VIT_206s0004g05760, VIT_206s0004g05750, VIT_206s0004g05763, VIT_208s0007g01470","Zm00001d043323, Zm00001d053025"
"P.trichocarpa_v4.1","Potri.001G251200","P,K",NA,NA,NA,NA,NA,"Inferred","AtCAX3",NA,"AT3G51860, AT2G38170","Glyma.18G200500, Glyma.07G149600, Glyma.09G159600, Glyma.03G058500, Glyma.01G122800, Glyma.03G058300, Glyma.18G063200, Glyma.02G226500, Glyma.14G193400","Medtr7g068380, Medtr4g016720, Medtr5g070330","LOC_Os05g51610, LOC_Os01g37690","Potri.016G115500, Potri.006G099900, Potri.009G045800, Potri.001G251200","Sobic.009G257800, Sobic.003G184800","Seita.3G120500, Seita.5G194500","Sevir.3G122500, Sevir.5G196600","VIT_208s0007g02240, VIT_206s0004g06570","Zm00001d009763, Zm00001d044533"
"P.trichocarpa_v4.1","Potri.001G266900","Mn,Fe,Zn",NA,NA,NA,NA,NA,"Inferred","AtFRD3/MAN1",NA,"AT3G08040","","","LOC_Os03g11734","Potri.009G061100, Potri.001G266900","Sobic.001G454900","Seita.9G489200","Sevir.9G493200","VIT_213s0064g00930, VIT_213s0064g00940","Zm00001d028228"
"P.trichocarpa_v4.1","Potri.001G282400","Fe",NA,NA,NA,NA,NA,"Inferred","OsMIT",NA,"AT1G07030, AT2G30160, AT1G07025","Glyma.02G231200, Glyma.14G198800","Medtr5g073040","LOC_Os03g18550","Potri.016G125200, Potri.009G077600, Potri.001G282400","Sobic.001G403700","Seita.9G437700","Sevir.9G441600","VIT_208s0058g00450, VIT_206s0004g07350","Zm00001d047709, Zm00001d028784"
"P.trichocarpa_v4.1","Potri.001G318500","P,As,Se",NA,NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"P.trichocarpa_v4.1","Potri.001G357600","Ca,K,Na,S",NA,NA,NA,NA,NA,"Inferred","AtCCC",NA,"AT1G30450","Glyma.15G193400, Glyma.09G085300","Medtr2g048510","LOC_Os08g23440","Potri.001G357600, Potri.011G090900","Sobic.005G040700, Sobic.002G243300, Sobic.009G105900","Seita.5G025700, Seita.3G275800","Sevir.5G024400, Sevir.3G283200","VIT_210s0003g04530","Zm00001d052570, Zm00001d037970, Zm00001d010029"
"P.trichocarpa_v4.1","Potri.001G416600","Cd,Co,Fe,Mn,Zn",NA,NA,NA,NA,NA,"Inferred","AtILR3,OsPRI1",NA,"AT5G54680, AT1G51070","Glyma.15G063000, Glyma.15G062600, Glyma.12G196700, Glyma.13G305500, Glyma.12G136300, Glyma.06G266800, Glyma.13G286700, Glyma.12G214900","Medtr2g089000, Medtr4g081370, Medtr2g082640","LOC_Os08g04390, LOC_Os07g35870","Potri.004G031800, Potri.011G031000, Potri.001G416600, Potri.011G132400","Sobic.007G033800, Sobic.002G329300","Seita.6G069500, Seita.2G342600","Sevir.6G068300, Sevir.2G352900","VIT_200s0532g00050, VIT_219s0014g05100, VIT_212s0059g02650","Zm00001d027911, Zm00001d046173, Zm00001d049384, Zm00001d046571, Zm00001d024679, Zm00001d021701"
"P.trichocarpa_v4.1","Potri.001G420300","Cd",NA,NA,NA,NA,NA,"Inferred","AtTSB1",NA,"AT5G54810, AT4G27070","Glyma.18G102800, Glyma.08G312300","Medtr3g051120, Medtr3g049410","LOC_Os08g04180","Potri.001G420300, Potri.011G136000","Sobic.007G032000","Seita.6G072900","Sevir.6G072000","VIT_219s0177g00310","Zm00001d049610, Zm00001d024702"
"P.trichocarpa_v4.1","Potri.001G450900","Zn",NA,NA,NA,NA,NA,"Inferred","AtMTP3",NA,"AT3G58810","","","LOC_Os05g03780","Potri.001G450900, Potri.011G150600","Sobic.009G029500","Seita.3G049900","Sevir.3G050000","VIT_202s0025g02900","Zm00001d035447, Zm00001d010954"
"P.trichocarpa_v4.1","Potri.001G455000","B",NA,NA,NA,NA,NA,"Inferred","AtNIP5;1,ZmTLS1",NA,"AT4G10380","Glyma.20G170400, Glyma.10G221100","Medtr1g097840","LOC_Os10g36924","Potri.001G455000, Potri.011G146900","Sobic.001G195800","Seita.9G193500","Sevir.9G193400","VIT_202s0025g03260","Zm00001d032461"
"P.trichocarpa_v4.1","Potri.002G005500","P,As",NA,NA,NA,NA,NA,"Inferred","AtPHT1;9",NA,"AT1G76430, AT1G20860","Glyma.07G222700, Glyma.20G021600","Medtr4g083960","LOC_Os02g39750, LOC_Os01g22810, LOC_Os06g21930, LOC_Os06g21920, LOC_Os06g21950","Potri.005G256100, Potri.002G005500","Sobic.010G133300","Seita.4G140700","Sevir.4G173800","VIT_218s0122g00780",""
"P.trichocarpa_v4.1","Potri.002G018900","Fe,Zn,Co,Mn",NA,NA,NA,NA,NA,"Inferred","AtFYVE1",NA,"AT1G20110","Glyma.04G023100, Glyma.06G023000, Glyma.17G259400, Glyma.08G248500","Medtr3g114080","LOC_Os06g50840, LOC_Os07g38580","Potri.005G242700, Potri.002G018900","Sobic.010G269100, Sobic.002G348600","Seita.4G283000, Seita.2G363000","Sevir.4G295200, Sevir.2G374000","VIT_218s0001g14750","Zm00001d021878"
"P.trichocarpa_v4.1","Potri.002G038900","P,As,Se",NA,NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"P.trichocarpa_v4.1","Potri.002G049500","S",NA,NA,NA,NA,NA,"Inferred","AtSULTR3;1",NA,"AT3G51895","Glyma.03G156700, Glyma.19G159000","Medtr7g095430","LOC_Os03g06520","Potri.010G082700, Potri.008G156600, Potri.002G049500, Potri.005G213500","Sobic.001G496800","Seita.9G532700","Sevir.9G537000","VIT_205s0020g03930, VIT_207s0151g00410, VIT_207s0151g00340","Zm00001d027749"
"P.trichocarpa_v4.1","Potri.002G052100","Fe",NA,NA,NA,NA,NA,"Inferred","AtGA1",NA,"AT4G02780","Glyma.03G154700, Glyma.19G157000, Glyma.03G154500, Glyma.03G154400","Medtr7g011663, Medtr7g011770, Medtr7g011740, Medtr7g094970","LOC_Os02g36210, LOC_Os04g09900, LOC_Os02g17780","Potri.002G052100, Potri.005G210300","Sobic.005G161200, Sobic.001G248600","Seita.1G203600, Seita.2G144900, Seita.9G351400, Seita.9G262400","Sevir.1G206900, Sevir.2G150600, Sevir.9G357500, Sevir.9G265300","VIT_207s0151g01070, VIT_207s0151g01040","Zm00001d024512, Zm00001d048867, Zm00001d048874, Zm00001d029648, Zm00001d032961"
"P.trichocarpa_v4.1","Potri.002G080400","Fe,Mn,Cd",NA,NA,NA,NA,NA,"Inferred","OsNRAMP5,OsNRAMP1,MtNRAMP1",NA,"","Glyma.06G115800","Medtr3g088440, Medtr3g088460","LOC_Os07g15370, LOC_Os07g15460","Potri.002G080500, Potri.005G181100, Potri.005G181000, Potri.002G080400","Sobic.002G095400, Sobic.002G095600","Seita.2G100300, Seita.2G100400","Sevir.2G103000, Sevir.2G103100","VIT_218s0001g02140, VIT_218s0001g02120","Zm00001d019327, Zm00001d005479"
"P.trichocarpa_v4.1","Potri.002G080500","Fe,Mn,Cd",NA,NA,NA,NA,NA,"Inferred","OsNRAMP5,OsNRAMP1,MtNRAMP1",NA,"","Glyma.06G115800","Medtr3g088440, Medtr3g088460","LOC_Os07g15370, LOC_Os07g15460","Potri.002G080500, Potri.005G181100, Potri.005G181000, Potri.002G080400","Sobic.002G095400, Sobic.002G095600","Seita.2G100300, Seita.2G100400","Sevir.2G103000, Sevir.2G103100","VIT_218s0001g02140, VIT_218s0001g02120","Zm00001d019327, Zm00001d005479"
"P.trichocarpa_v4.1","Potri.002G090200","S,Se",NA,NA,NA,NA,NA,"Inferred","AtMSA1",NA,"AT1G36370, AT1G22020","Glyma.08G187800, Glyma.12G170300","Medtr2g006570, Medtr3g073470","LOC_Os05g35440, LOC_Os01g65410","Potri.001G212000, Potri.002G090200, Potri.005G170800","Sobic.003G373600","Seita.5G398800","Sevir.5G404100","VIT_212s0034g02380, VIT_218s0001g04340","Zm00001d042661, Zm00001d012247"
"P.trichocarpa_v4.1","Potri.002G121000","Fe,Mn,Zn",NA,NA,NA,NA,NA,"Inferred","AtNRAMP3",NA,"AT2G23150, AT5G67330, AT1G47240","Glyma.17G165200, Glyma.05G101700, Glyma.11G051500, Glyma.01G190700, Glyma.04G044000, Glyma.06G044200","Medtr4g095075, Medtr5g016270, Medtr3g102620","LOC_Os03g11010, LOC_Os12g39180","Potri.007G050600, Potri.007G050700, Potri.002G121000","Sobic.001G462500, Sobic.001G170000, Sobic.008G143700","Seita.9G497200, Seita.9G171400, Seita.3G367300","Sevir.9G501400, Sevir.9G169700, Sevir.3G384700","VIT_207s0129g00620, VIT_218s0001g09490","Zm00001d048129, Zm00001d033367, Zm00001d030846"
"P.trichocarpa_v4.1","Potri.002G170000","K,Ca,Mg",NA,NA,NA,NA,NA,"Inferred","AtCNGC10",NA,"AT1G01340, AT4G01010","","","","Potri.014G097900, Potri.002G170000","","","","",""
"P.trichocarpa_v4.1","Potri.002G191000","B",NA,NA,NA,NA,NA,"Inferred","AtBOR1,AtBOR2,OsBOR1",NA,"AT2G47160, AT3G62270","Glyma.03G222300, Glyma.19G219500","Medtr7g110000","LOC_Os12g37840","Potri.014G116000, Potri.002G191000","Sobic.008G132300","Seita.3G333100","Sevir.3G347400","VIT_207s0005g02060","Zm00001d041590, Zm00001d030656"
"P.trichocarpa_v4.1","Potri.002G257800.11.p","P",NA,NA,NA,NA,NA,"Inferred","AtPHR1",NA,"AT5G29000, AT3G04450, AT2G20400, AT4G28610","Glyma.10G039700, Glyma.13G126200, Glyma.19G167500, Glyma.03G166400, Glyma.19G247600, Glyma.03G250000","Medtr7g098250, Medtr1g080330, Medtr7g115530","LOC_Os07g25710","Potri.002G257800.11.p, Potri.013G048000, Potri.019G020900","Sobic.002G121600","Seita.2G118400","Sevir.2G125000","VIT_207s0005g04120, VIT_214s0036g01380","Zm00001d019536"
"P.trichocarpa_v4.1","Potri.003G037800","K",NA,NA,NA,NA,NA,"Inferred","AtCBL10",NA,"AT4G33000, AT4G16350","Glyma.17G229500, Glyma.07G010800, Glyma.08G194000","Medtr1g016430, Medtr8g016170, Medtr2g027520, Medtr2g027500","LOC_Os01g39770, LOC_Os01g51420","Potri.006G230200, Potri.003G037800, Potri.015G013200, Potri.001G090200","Sobic.003G196400, Sobic.003G275000","Seita.5G259100, Seita.5G291900","Sevir.5G210300, Sevir.5G294932","VIT_204s0008g00960, VIT_204s0008g00950","Zm00001d044285"
"P.trichocarpa_v4.1","Potri.003G049600","Cd",NA,NA,NA,NA,NA,"Inferred","AtPEN3",NA,"AT1G15210, AT1G59870, AT3G16340","Glyma.08G201300, Glyma.07G015800, Glyma.13G355000","Medtr8g014360, Medtr2g101090","LOC_Os06g36090, LOC_Os01g52560","Potri.001G189500, Potri.003G049600","Sobic.010G165500, Sobic.003G281500","Seita.4G181500, Seita.5G302300","Sevir.4G150000, Sevir.5G304900","VIT_209s0002g03630, VIT_209s0002g03640","Zm00001d036986, Zm00001d046277, Zm00001d043598"
