"Species","GeneID","GeneName","Elements","Citation.s....DOI.only","Closest.species.orthologs","Tissue","Comments","Primary.Inferred","Inferred.from","Inferred.Elements","A.thaliana_TAIR10 orthologs","G.max_Wm82.a2.v1 orthologs","M.truncatula_Mt4.0v1 orthologs","O.sativa_v7.0 orthologs","P.trichocarpa_v4.1 orthologs","S.bicolor_v3.1.1 orthologs","S.italica_v2.2 orthologs","S.viridis_v2.1 orthologs","V.vinifera_v2.1 orthologs","Z.mays_RefGen_V4 orthologs"
"Z.mays_RefGen_V4","Zm00001d002275",NA,"Cd,As",NA,NA,NA,NA,"Inferred","AtABCC1,OsABCC1",NA,"AT2G34660, AT1G30400, AT1G30410, AT1G30420","Glyma.15G092400, Glyma.13G220000, Glyma.06G312300","Medtr2g019020, Medtr3g011820, Medtr3g011840","LOC_Os04g52900","Potri.011G091200.12.p, Potri.004G034700, Potri.004G034800, Potri.011G043100","Sobic.010G093800, Sobic.006G219300","Seita.7G241100","Sevir.7G252600","VIT_210s0003g04390, VIT_210s0003g04470","Zm00001d002275"
"Z.mays_RefGen_V4","Zm00001d002343",NA,"Zn,Mn",NA,NA,NA,NA,"Inferred","AtZIP5,AtZIP1,OsZIP3,OsZIP5",NA,"AT3G12750, AT1G05300, AT2G32270","Glyma.13G004400, Glyma.20G063100, Glyma.15G262800, Glyma.08G164400","Medtr3g081690, Medtr3g082050, Medtr3g081640, Medtr3g081580, Medtr2g064310, Medtr3g073900, Medtr3g073950","LOC_Os07g12890, LOC_Os05g39560, LOC_Os05g39540, LOC_Os04g52310, LOC_Os08g10630","Potri.006G006800, Potri.006G006600, Potri.006G006902, Potri.010G173300, Potri.008G083100","Sobic.002G083200, Sobic.009G170500, Sobic.007G064900, Sobic.006G212200, Sobic.007G075700","Seita.2G090600, Seita.3G208000, Seita.3G208100, Seita.7G190900, Seita.7G234300, Seita.6G026600","Sevir.2G093200, Sevir.3G213300, Sevir.3G213400, Sevir.7G203200, Sevir.7G245900, Sevir.6G025100","VIT_203s0017g02170, VIT_203s0017g02190, VIT_219s0085g00740, VIT_219s0085g00795","Zm00001d019228, Zm00001d038437, Zm00001d002343, Zm00001d049375, Zm00001d049993, Zm00001d019227"
"Z.mays_RefGen_V4","Zm00001d002503",NA,"As",NA,NA,NA,NA,"Inferred","OsABCC7",NA,"AT3G60970, AT3G60160","Glyma.07G121900, Glyma.03G101000","Medtr0874s0020, Medtr8g009640","LOC_Os04g49900, LOC_Os04g49890","Potri.014G180100","Sobic.006G054200, Sobic.006G195800","Seita.7G043600, Seita.7G076800, Seita.7G076700, Seita.7G216700","Sevir.7G048600, Sevir.7G083600, Sevir.7G083400, Sevir.7G228400","VIT_215s0021g00220","Zm00001d026041, Zm00001d002503"
"Z.mays_RefGen_V4","Zm00001d002548",NA,"Al",NA,NA,NA,NA,"Inferred","OsEXPA10",NA,"AT3G03220","Glyma.02G240900, Glyma.14G210500","Medtr5g076950","LOC_Os04g49410","Potri.004G080200, Potri.017G140000","Sobic.006G191700","Seita.7G212500","Sevir.7G224300","VIT_204s0079g00420","Zm00001d002548, Zm00001d026014"
"Z.mays_RefGen_V4","Zm00001d002614",NA,"Zn",NA,NA,NA,NA,"Inferred","AtVPT1,PHT5;1",NA,"AT4G11810, AT4G22990, AT1G63010","Glyma.18G228700, Glyma.09G263400, Glyma.09G128500, Glyma.16G176100, Glyma.20G163400","Medtr7g076520, Medtr1g099580, Medtr6g053510","LOC_Os06g03860, LOC_Os04g48390, LOC_Os02g45520","Potri.014G078000, Potri.003G120600, Potri.001G111400","Sobic.010G019000, Sobic.006G185500, Sobic.004G282900","Seita.4G018900, Seita.2G279600, Seita.7G205800, Seita.1G271500","Sevir.4G018800, Sevir.2G289500, Sevir.7G217700, Sevir.1G276200","VIT_215s0048g01090, VIT_202s0025g04540","Zm00001d045491, Zm00001d036020, Zm00001d002614, Zm00001d017597"
"Z.mays_RefGen_V4","Zm00001d002705",NA,"Cu",NA,NA,NA,NA,"Inferred","AtHMA5,OsHMA5",NA,"AT1G63440","Glyma.01G219100, Glyma.08G013600, Glyma.19G140000, Glyma.01G219000","Medtr8g079250, Medtr5g010420","LOC_Os04g46940","Potri.001G105800, Potri.003G125600, Potri.003G125700","Sobic.006G173800, Sobic.006G173700","Seita.7G194000, Seita.7G193900","Sevir.7G206000, Sevir.7G205900","VIT_202s0025g03640, VIT_202s0025g03630","Zm00001d002705, Zm00001d002708"
"Z.mays_RefGen_V4","Zm00001d002708",NA,"Cu",NA,NA,NA,NA,"Inferred","AtHMA5,OsHMA5",NA,"AT1G63440","Glyma.01G219100, Glyma.08G013600, Glyma.19G140000, Glyma.01G219000","Medtr8g079250, Medtr5g010420","LOC_Os04g46940","Potri.001G105800, Potri.003G125600, Potri.003G125700","Sobic.006G173800, Sobic.006G173700","Seita.7G194000, Seita.7G193900","Sevir.7G206000, Sevir.7G205900","VIT_202s0025g03640, VIT_202s0025g03630","Zm00001d002705, Zm00001d002708"
"Z.mays_RefGen_V4","Zm00001d002772",NA,"Mg,P,S,Co",NA,NA,NA,NA,"Inferred","AtUCC2",NA,"AT2G44790, AT3G60270, AT3G60280","Glyma.03G109900, Glyma.07G115000","Medtr8g007035, Medtr8g007020","LOC_Os04g46130, LOC_Os02g43660","Potri.014G049600","Sobic.006G166800, Sobic.004G297900","Seita.2G157200, Seita.1G256300","Sevir.7G198000, Sevir.1G260500","VIT_215s0021g01390","Zm00001d002772, Zm00001d051333, Zm00001d017455"
"Z.mays_RefGen_V4","Zm00001d002797",NA,"Fe,Zn,Cu,Mn",NA,NA,NA,NA,"Inferred","AtYSL1,AtYSL3,OsYSL2,OsYSL9,OsYSL16",NA,"AT5G24380, AT5G53550, AT4G24120","Glyma.17G191300, Glyma.06G133000, Glyma.09G127600, Glyma.04G231900, Glyma.13G001500, Glyma.20G068300, Glyma.20G217400, Glyma.10G172900","Medtr3g092090, Medtr1g077840","LOC_Os04g45860, LOC_Os04g45900, LOC_Os02g43370","Potri.011G055224, Potri.001G084400, Potri.001G082400","Sobic.006G164200, Sobic.006G164300, Sobic.004G299700","Seita.7G185000, Seita.7G185100, Seita.1G254200, Seita.1G254100","Sevir.7G195100, Sevir.7G195200, Sevir.1G258500, Sevir.1G258400","VIT_216s0098g01250, VIT_202s0025g02500, VIT_202s0025g02510","Zm00001d002797, Zm00001d025977, Zm00001d017427"
"Z.mays_RefGen_V4","Zm00001d002884",NA,"Fe",NA,NA,NA,NA,"Inferred","AtVTL1,AtVTL2,AtVTL5",NA,"AT3G25190, AT1G76800, AT3G43630, AT1G21140, AT3G43660","Glyma.05G121400, Glyma.08G076100, Glyma.05G121300, Glyma.08G076000, Glyma.20G166100, Glyma.16G168200, Glyma.02G082500, Glyma.08G181900, Glyma.15G050400","Medtr4g094325, Medtr4g094330, Medtr4g094328, Medtr4g094332, Medtr1g099010, Medtr6g034975, Medtr0119s0020, Medtr0119s0010, Medtr2g008110","LOC_Os04g59020","Potri.002G069400, Potri.018G106000, Potri.005G190800","Sobic.006G276300","Seita.3G311300, Seita.3G006100","Sevir.3G316403, Sevir.3G007500","VIT_212s0055g00860, VIT_212s0055g00850, VIT_212s0055g00870, VIT_218s0076g00320","Zm00001d026679, Zm00001d002884"
"Z.mays_RefGen_V4","Zm00001d003064",NA,"Fe,Cd,Zn,Co,Mo",NA,NA,NA,NA,"Inferred","AtMYB72,AtMYB10",NA,"AT3G23250, AT3G12820, AT1G56160, AT1G79180, AT1G16490, AT2G31180, AT1G06180","Glyma.08G168100, Glyma.15G259400, Glyma.10G165800, Glyma.20G223400, Glyma.03G250600, Glyma.19G248100","Medtr2g067420, Medtr7g115650","LOC_Os04g43680, LOC_Os02g41510, LOC_Os10g33810","Potri.007G067600, Potri.005G096600, Potri.019G018200","Sobic.006G148000, Sobic.004G219800, Sobic.001G219200","Seita.7G167300, Seita.1G239400, Seita.9G222100","Sevir.7G176600, Sevir.1G244400, Sevir.9G221500","VIT_219s0085g00050","Zm00001d003064, Zm00001d025864, Zm00001d017268, Zm00001d051149, Zm00001d014029, Zm00001d032694"
"Z.mays_RefGen_V4","Zm00001d003717",NA,"As,S,Se",NA,NA,NA,NA,"Inferred","OsASTOL1",NA,"AT5G28030, AT5G28020, AT3G04940, AT3G22460, AT4G14880","Glyma.15G262500, Glyma.10G159700, Glyma.20G228900, Glyma.10G159800, Glyma.03G244800, Glyma.19G242300, Glyma.20G148100, Glyma.11G005800","Medtr1g081625, Medtr1g081640, Medtr1g081620, Medtr1g081610, Medtr1g103690, Medtr5g006340","LOC_Os12g42980, LOC_Os03g53650","Potri.013G035200, Potri.005G048066, Potri.005G048132, Potri.005G048400, Potri.005G048700, Potri.013G035500, Potri.008G153300","Sobic.008G179900, Sobic.006G077900","Seita.3G397200, Seita.7G096600","Sevir.3G415300, Sevir.7G104400","VIT_214s0030g01520, VIT_214s0030g01550, VIT_214s0030g01540","Zm00001d031136, Zm00001d003717"
"Z.mays_RefGen_V4","Zm00001d003861",NA,"Cs,K",NA,NA,NA,NA,"Inferred","OsHAK1,ZmHAK5",NA,"","","","LOC_Os02g31940, LOC_Os02g31910, LOC_Os04g32920, LOC_Os01g70490","","Sobic.004G160000, Sobic.006G062100, Sobic.006G061300, Sobic.003G413600, Sobic.003G413700","Seita.1G175000, Seita.7G082800, Seita.7G082700, Seita.7G082300, Seita.5G439500","Sevir.1G177900, Sevir.7G090300, Sevir.7G090200, Sevir.7G089700, Sevir.5G446100","","Zm00001d025303, Zm00001d003861, Zm00001d042244"
"Z.mays_RefGen_V4","Zm00001d004007",NA,"Fe,Mn,Cu,Zn",NA,NA,NA,NA,"Inferred","AtFRU,OsFIT/bHLH156",NA,"AT2G28160","Glyma.13G322100, Glyma.12G178500, Glyma.11G192800, Glyma.12G081200","Medtr2g084280, Medtr4g057270","LOC_Os04g31290","Potri.009G005600","Sobic.006G047200","Seita.7G070000, Seita.7G069900","Sevir.7G076400, Sevir.7G076300","VIT_206s0061g00720","Zm00001d004007, Zm00001d025205"
"Z.mays_RefGen_V4","Zm00001d004301",NA,"P,As,Se",NA,NA,NA,NA,"Inferred","AtPHT1;5,AtPHT1;4,AtPHT1;1,OsPT2",NA,"AT3G54700, AT2G38940, AT2G32830, AT5G43370, AT5G43350, AT5G43360, AT4G08878, AT5G43340, AT4G08895","Glyma.10G186400, Glyma.20G204100, Glyma.03G162800, Glyma.19G164300, Glyma.10G036800, Glyma.10G186500, Glyma.20G204000, Glyma.10G006700, Glyma.02G005800","Medtr1g074940, Medtr7g096870, Medtr7g096880, Medtr1g069935, Medtr1g069930, Medtr1g074930, Medtr1g043200, Medtr1g043290, Medtr1g043220, Medtr3g082700","LOC_Os08g45000, LOC_Os03g04360, LOC_Os04g10690, LOC_Os04g10750, LOC_Os10g30770, LOC_Os03g05620, LOC_Os03g05640, LOC_Os03g05610, LOC_Os10g30790, LOC_Os10g20500","Potri.010G071500, Potri.005G223600, Potri.002G038900, Potri.010G071700, Potri.010G071600, Potri.010G072000, Potri.001G318500, Potri.005G175500, Potri.005G175700","Sobic.006G026800, Sobic.007G164400, Sobic.001G513400, Sobic.006G027300, Sobic.001G234900, Sobic.001G502000, Sobic.001G502100, Sobic.001G234800","Seita.7G033100, Seita.6G253400, Seita.4G276500, Seita.9G548500, Seita.7G032900, Seita.9G238400, Seita.9G538500, Seita.9G538600, Seita.6G012100, Seita.9G238300","Sevir.7G019800, Sevir.6G257900, Sevir.4G288300, Sevir.9G553200, Sevir.7G019300, Sevir.9G238400, Sevir.9G542800, Sevir.9G542900, Sevir.6G010350, Sevir.9G238300","VIT_207s0005g03290, VIT_205s0049g00940, VIT_205s0049g00920, VIT_205s0049g00930","Zm00001d025028, Zm00001d031875, Zm00001d027549, Zm00001d004301, Zm00001d027700, Zm00001d032850"
"Z.mays_RefGen_V4","Zm00001d004400",NA,"Mn,Fe",NA,NA,NA,NA,"Inferred","AtCMT1",NA,"AT4G13590","Glyma.10G127000","Medtr1g046730","LOC_Os11g34180","Potri.001G053600, Potri.003G174600","Sobic.006G021800","Seita.7G040400","Sevir.7G028100","VIT_205s0051g00440","Zm00001d004400"
"Z.mays_RefGen_V4","Zm00001d005001",NA,"Cs,Zn,Fe",NA,NA,NA,NA,"Inferred","AtZIFL2,AtZIF1,OsZIFL12,ZmYS3",NA,"AT5G13750, AT5G13740, AT3G43790","Glyma.06G313700, Glyma.06G313600, Glyma.04G124800, Glyma.13G186500, Glyma.13G186700, Glyma.15G224200, Glyma.13G186400, Glyma.13G186600","Medtr3g086440, Medtr8g062990, Medtr3g010820, Medtr8g042870, Medtr8g042820, Medtr8g042780, Medtr8g042770, Medtr3g010850, Medtr1194s0010, Medtr8g075280, Medtr3g010840","LOC_Os11g04120, LOC_Os11g04104, LOC_Os12g03899, LOC_Os12g03860, LOC_Os11g04030, LOC_Os12g03830, LOC_Os11g04020","Potri.008G010600, Potri.006G026200, Potri.016G024400","Sobic.005G024800, Sobic.008G015700, Sobic.005G024900, Sobic.005G097900, Sobic.008G015800, Sobic.005G024700, Sobic.008G084800","Seita.7G312300, Seita.8G020800, Seita.8G070700, Seita.7G312500, Seita.7G312000, Seita.8G020600, Seita.3G089200","Sevir.7G322400, Sevir.8G023400, Sevir.8G071400, Sevir.7G322100, Sevir.8G023200, Sevir.3G091300","VIT_213s0047g00050, VIT_213s0047g00080, VIT_213s0047g00010, VIT_213s0047g00040, VIT_208s0040g00510","Zm00001d005002, Zm00001d052435, Zm00001d005001, Zm00001d052434, Zm00001d041111"
"Z.mays_RefGen_V4","Zm00001d005002",NA,"Cs,Zn,Fe",NA,NA,NA,NA,"Inferred","AtZIFL2,AtZIF1,OsZIFL12,ZmYS3",NA,"AT5G13750, AT5G13740, AT3G43790","Glyma.06G313700, Glyma.06G313600, Glyma.04G124800, Glyma.13G186500, Glyma.13G186700, Glyma.15G224200, Glyma.13G186400, Glyma.13G186600","Medtr3g086440, Medtr8g062990, Medtr3g010820, Medtr8g042870, Medtr8g042820, Medtr8g042780, Medtr8g042770, Medtr3g010850, Medtr1194s0010, Medtr8g075280, Medtr3g010840","LOC_Os11g04120, LOC_Os11g04104, LOC_Os12g03899, LOC_Os12g03860, LOC_Os11g04030, LOC_Os12g03830, LOC_Os11g04020","Potri.008G010600, Potri.006G026200, Potri.016G024400","Sobic.005G024800, Sobic.008G015700, Sobic.005G024900, Sobic.005G097900, Sobic.008G015800, Sobic.005G024700, Sobic.008G084800","Seita.7G312300, Seita.8G020800, Seita.8G070700, Seita.7G312500, Seita.7G312000, Seita.8G020600, Seita.3G089200","Sevir.7G322400, Sevir.8G023400, Sevir.8G071400, Sevir.7G322100, Sevir.8G023200, Sevir.3G091300","VIT_213s0047g00050, VIT_213s0047g00080, VIT_213s0047g00010, VIT_213s0047g00040, VIT_208s0040g00510","Zm00001d005002, Zm00001d052435, Zm00001d005001, Zm00001d052434, Zm00001d041111"
"Z.mays_RefGen_V4","Zm00001d005189",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AtHMA4,AtHMA2,AtHMA3,OsHMA3",NA,"AT2G19110, AT4G30110, AT4G30120","Glyma.09G055600, Glyma.13G099600, Glyma.17G060400","Medtr2g036380, Medtr4g127580","LOC_Os07g12900","Potri.006G076900","Sobic.010G250900, Sobic.002G083100, Sobic.002G083000","Seita.4G242300, Seita.2G090500, Seita.2G090300","Sevir.4G255000, Sevir.2G093100, Sevir.2G092800","VIT_211s0103g00370","Zm00001d014669, Zm00001d019226, Zm00001d005189, Zm00001d005190"
"Z.mays_RefGen_V4","Zm00001d005190",NA,"Zn,Cd",NA,NA,NA,NA,"Inferred","AtHMA4,AtHMA2,AtHMA3,OsHMA3",NA,"AT2G19110, AT4G30110, AT4G30120","Glyma.09G055600, Glyma.13G099600, Glyma.17G060400","Medtr2g036380, Medtr4g127580","LOC_Os07g12900","Potri.006G076900","Sobic.010G250900, Sobic.002G083100, Sobic.002G083000","Seita.4G242300, Seita.2G090500, Seita.2G090300","Sevir.4G255000, Sevir.2G093100, Sevir.2G092800","VIT_211s0103g00370","Zm00001d014669, Zm00001d019226, Zm00001d005189, Zm00001d005190"
"Z.mays_RefGen_V4","Zm00001d005479",NA,"Fe,Mn,Cd",NA,NA,NA,NA,"Inferred","OsNRAMP5,OsNRAMP1,MtNRAMP1",NA,"","Glyma.06G115800","Medtr3g088440, Medtr3g088460","LOC_Os07g15370, LOC_Os07g15460","Potri.002G080500, Potri.005G181100, Potri.005G181000, Potri.002G080400","Sobic.002G095400, Sobic.002G095600","Seita.2G100300, Seita.2G100400","Sevir.2G103000, Sevir.2G103100","VIT_218s0001g02140, VIT_218s0001g02120","Zm00001d019327, Zm00001d005479"
"Z.mays_RefGen_V4","Zm00001d005528",NA,"Cd",NA,NA,NA,NA,"Inferred","SbSbABCB11",NA,"AT5G46540, AT4G18050","Glyma.13G222000, Glyma.15G090200","Medtr2g018350, Medtr2g018320, Medtr6g078080, Medtr2g018530","LOC_Os01g50100, LOC_Os05g47500, LOC_Os01g50160, LOC_Os01g35030, LOC_Os05g47490","","Sobic.003G267300, Sobic.009G218450, Sobic.003G267700, Sobic.002G156400, Sobic.003G180400","Seita.5G283000, Seita.5G283600, Seita.5G283500, Seita.5G283700, Seita.5G189700, Seita.3G160100","Sevir.5G285600, Sevir.3G163160, Sevir.5G286200, Sevir.5G286066, Sevir.5G286300, Sevir.5G191900, Sevir.3G163501","VIT_210s0003g02540, VIT_210s0003g02580, VIT_210s0003g02570","Zm00001d011644, Zm00001d009448, Zm00001d043762, Zm00001d005528, Zm00001d044564, Zm00001d009447"
"Z.mays_RefGen_V4","Zm00001d005819",NA,"Cu",NA,NA,NA,NA,"Inferred","AtCOPT5",NA,"AT5G20650","Glyma.04G057000, Glyma.06G057400, Glyma.14G107100, Glyma.17G219400","Medtr3g105330, Medtr1g015000","LOC_Os09g26900, LOC_Os08g35490","Potri.006G219200, Potri.006G140700","Sobic.002G215800, Sobic.001G353200","Seita.2G218500","Sevir.2G228000","VIT_211s0016g00920","Zm00001d020623, Zm00001d005819"
"Z.mays_RefGen_V4","Zm00001d006467",NA,"S,Se",NA,NA,NA,NA,"Inferred","AtAPR2",NA,"AT4G04610, AT4G21990, AT1G62180","Glyma.07G261500, Glyma.09G004400, Glyma.15G108700","Medtr2g023540","LOC_Os07g32570","Potri.004G011525, Potri.004G012100","Sobic.002G314300","Seita.2G327500","Sevir.2G338800","VIT_212s0059g00760, VIT_200s1490g00010, VIT_210s0116g01650","Zm00001d006467, Zm00001d021596"
"Z.mays_RefGen_V4","Zm00001d006905",NA,"Fe,Zn",NA,NA,NA,NA,"Inferred","OsRab6a",NA,"AT5G64990, AT4G39890, AT2G22290, AT5G10260","Glyma.05G178300, Glyma.08G135400, Glyma.18G017000, Glyma.11G240300","Medtr3g087160, Medtr8g090215","LOC_Os03g09140","Potri.005G075300","Sobic.002G380300, Sobic.001G474200","Seita.2G395400, Seita.9G509800","Sevir.2G406800, Sevir.9G514000","VIT_200s0665g00040","Zm00001d006905"
"Z.mays_RefGen_V4","Zm00001d008528",NA,"P",NA,NA,NA,NA,"Inferred","AtMYB62",NA,"AT1G68320, AT1G25340","Glyma.08G042100, Glyma.05G234600, Glyma.07G092800, Glyma.09G183400, Glyma.10G273000, Glyma.20G117000","Medtr1g110460","LOC_Os01g03720","Potri.015G046200, Potri.012G055600, Potri.010G123000, Potri.008G122100","Sobic.003G087600","Seita.5G087200","Sevir.5G085400","VIT_217s0000g03560, VIT_201s0011g03730","Zm00001d040019, Zm00001d008528"
"Z.mays_RefGen_V4","Zm00001d008716",NA,"Ca",NA,NA,NA,NA,"Inferred","AtLOTR1",NA,"AT5G50150, AT1G10750, AT1G70550, AT1G23340","Glyma.05G039800, Glyma.17G087100, Glyma.10G167900, Glyma.02G037400, Glyma.01G027800","Medtr3g077430, Medtr4g105400, Medtr8g069575, Medtr8g069590, Medtr8g069630, Medtr2g073050, Medtr5g033650","LOC_Os01g07570, LOC_Os06g28000, LOC_Os01g36660, LOC_Os11g47740","Potri.012G088300, Potri.015G080300, Potri.008G188000, Potri.010G044300","Sobic.003G052000, Sobic.010G143300, Sobic.003G184500","Seita.5G120400, Seita.4G150700, Seita.5G194000, Seita.8G156400, Seita.3G283200","Sevir.5G117000, Sevir.4G161600, Sevir.5G196200","VIT_217s0000g08870, VIT_200s0394g00010","Zm00001d008716, Zm00001d045987, Zm00001d044534"
"Z.mays_RefGen_V4","Zm00001d008902",NA,"Zn,Cd,As",NA,NA,NA,NA,"Inferred","AtPCS1,OsPCS2",NA,"AT1G03980, AT5G44070","Glyma.03G165100, Glyma.03G165000, Glyma.19G166400","Medtr7g097200, Medtr7g097190","LOC_Os06g01260","Potri.014G195900, Potri.014G195800","Sobic.003G024300, Sobic.003G024200","Seita.5G146100, Seita.5G146200","Sevir.5G144600, Sevir.5G144700","VIT_207s0005g03760","Zm00001d008902"
